repo_url,stars,forks,repo_size_kb,open_issues_count,num_files,num_py_files,num_js_files,num_ts_files,num_html_files,num_css_files,num_json_files,num_sh_files,num_yaml_files,num_test_files,test_file_ratio,num_docs_files,num_notebooks,other_extensions_count,has_dedicated_test_dir,has_license,has_src_dir,has_docs_dir,has_scripts_dir,num_dirs,avg_files_per_dir,avg_py_file_len,avg_test_file_len,avg_nb_cell_count,avg_docs_file_len,num_dependencies,repo_age_days,recent_activity_days,has_pyproject_toml,has_dockerfile,has_github_actions,has_requirements_txt,has_conda_env_file,has_docker_compose,has_precommit_config,has_setup_py,has_tox_ini,has_makefile
https://github.com/AutoRecon/AutoRecon,5958,973,872,39,102,91,0,0,0,0,0,0,2,0,0.0,1,0,8,False,True,False,False,False,5,17.0,47.8,0.0,0.0,408.0,14,2587,0,True,True,True,True,False,False,False,False,False,False
https://github.com/Avaiga/taipy,19149,1971,158874,193,1603,760,29,174,4,37,79,1,29,343,0.311,30,2,115,True,True,False,True,False,283,5.64,88.2,163.0,11.0,78.1,39,1503,0,True,True,True,False,False,False,True,True,False,False
https://github.com/AzeemIdrisi/PhoneSploit-Pro,5687,788,3179,12,19,4,0,0,0,0,0,0,2,0,0.0,7,0,6,False,True,False,True,False,4,3.8,535.8,0.0,0.0,87.9,3,1193,0,False,False,False,True,False,False,False,False,False,False
https://github.com/Azure-Samples/azure-search-openai-demo,7612,5381,82802,520,523,62,0,70,1,20,132,8,14,28,0.311,41,0,147,True,True,False,True,True,212,2.46,214.1,380.6,0.0,140.1,140,1147,0,True,True,True,False,False,False,True,False,False,False
https://github.com/BIT-DataLab/Edit-Banana,4652,297,13209,25,71,44,0,0,0,0,0,3,0,0,0.0,6,0,18,False,True,False,True,True,15,4.44,260.0,0.0,0.0,170.3,12,75,0,False,False,False,True,False,False,False,False,False,False
https://github.com/Baekalfen/PyBoy,5108,524,47558,32,353,65,0,0,18,0,2,0,3,36,0.356,5,0,224,True,True,False,True,False,40,8.61,372.4,144.4,0.0,85.0,8,3960,2,True,False,True,True,False,False,True,True,False,True
https://github.com/BeehiveInnovations/pal-mcp-server,11352,972,4096,118,362,112,0,0,0,0,24,5,13,137,0.55,49,0,22,True,True,False,True,True,36,9.78,272.1,301.5,0.0,204.6,19,297,0,True,True,True,True,False,True,True,False,False,False
https://github.com/Bing-su/adetailer,4714,379,521,1,44,24,0,0,0,0,2,0,7,6,0.2,3,0,2,True,True,False,False,True,9,4.4,159.0,94.0,0.0,427.7,5,1071,0,True,False,True,False,False,False,True,False,False,False
https://github.com/Blaizzy/mlx-audio,6495,527,99765,71,581,444,2,20,0,1,8,0,4,46,0.094,33,0,23,False,True,False,False,False,132,4.37,258.1,300.4,0.0,127.2,12,489,0,True,False,True,False,False,False,True,False,False,False
https://github.com/BlinkDL/ChatRWKV,9512,698,31212,57,73,33,0,0,0,0,3,0,1,0,0.0,2,0,34,False,True,True,False,False,12,5.62,200.7,0.0,0.0,174.5,3,1174,0,True,False,False,True,False,False,False,False,False,False
https://github.com/BlinkDL/RWKV-LM,14446,1001,30763,144,180,77,0,0,0,0,7,8,1,0,0.0,7,0,80,False,True,False,False,False,32,5.45,257.3,0.0,0.0,198.9,6,1697,0,False,False,False,False,False,False,False,False,False,False
https://github.com/Bogdanp/dramatiq,5186,358,2957,57,182,91,0,0,4,0,0,0,5,30,0.248,26,0,26,True,False,False,True,True,36,4.92,100.9,186.0,0.0,176.4,4,3228,1,True,False,True,False,False,False,False,True,True,False
https://github.com/BrainBlend-AI/atomic-agents,5829,482,14705,8,331,164,0,0,0,0,3,0,4,19,0.104,68,0,73,False,True,False,True,True,141,2.33,140.6,436.1,0.0,278.0,173,667,0,True,False,True,True,False,False,True,True,False,False
