,stars,forks,repo_size_kb,open_issues_count,num_files,num_py_files,num_js_files,num_ts_files,num_html_files,num_css_files,num_json_files,num_sh_files,num_yaml_files,num_test_files,test_file_ratio,num_docs_files,num_notebooks,other_extensions_count,has_dedicated_test_dir,has_license,has_src_dir,has_docs_dir,has_scripts_dir,num_dirs,avg_files_per_dir,avg_py_file_len,avg_test_file_len,avg_nb_cell_count,avg_docs_file_len,num_dependencies,repo_age_days,recent_activity_days
has_src_dir,0.1323296756659854,0.07010845671136309,0.3686463315990879,0.28879886584229736,0.5307563124472645,0.3607319830149837,0.12245049247930807,0.503834755538726,0.19516705945833415,0.30494173022693594,0.8282492192281009,0.06615433478294995,0.4876787533982385,0.3752839618134162,1.1932737985787055e-06,0.3102368557661873,0.46551847084673637,0.0487016924589737,1.7987041659498117e-06,0.11888713273756339,1.0,0.0001078463026589601,0.3453802307094249,0.049898046711727484,0.6561861713967725,0.8741002417911015,0.011919076018592455,0.19995440776838735,0.2276513970519235,0.10910645172255604,0.008211188663360163,0.3890076993214914
has_docs_dir,0.11076065043684818,0.36868734586692037,1.726373192081734e-06,0.009073751869466693,7.361756695055786e-10,6.0606853449918e-08,0.3557508771420417,0.7967063555185733,0.012679908702496748,0.026884379027418352,0.00012898779825107215,0.010149190505946516,0.30425273798316693,3.8687758992135504e-12,6.584451330347352e-32,5.799980819814323e-06,0.1132007153664961,0.00013994377992725593,1.7358439887400575e-33,7.534567144900044e-12,0.0001078463026589601,1.0,5.5702038972571414e-15,1.7855613297617522e-07,0.19158028013955133,0.6038188302712455,1.0556052302030269e-12,0.6547793677467317,0.000428236404017825,0.24177251666852273,2.2962400222420577e-06,0.7821366264183623
has_scripts_dir,0.0012368778282273694,0.0012975191543640333,0.00023467353850413573,0.0002709924498073434,7.518084269884058e-12,3.95384892096669e-14,0.054010042623776434,7.648472796906963e-07,0.00847126217788213,0.08891183716257373,2.362093849970759e-07,0.00012064048011225979,0.01495091493440652,1.2009907564451238e-19,2.820548605373351e-08,1.6285995119530803e-07,0.009801916764116493,0.22686384874760887,1.3315637727442107e-11,0.0001495439581942505,0.3453802307094249,5.5702038972571414e-15,1.0,1.8806626673695227e-12,0.7183473986795946,0.7488251712795774,0.0019126426535568289,0.6320566021346591,0.7090378453369313,0.0032019321289223665,0.009234999028990156,0.02789196378004005
num_dirs,0.05775182473854968,3.7726396990669967e-07,1.0679072333649296e-32,0.0017474800313252818,2.608467794022959e-290,2.055909220389296e-158,1.555237581021096e-13,1.7695198351392793e-31,3.42821683230368e-10,4.160732005910014e-10,8.749226258463739e-32,5.786788205998402e-28,2.802278543521138e-09,2.5248283854382626e-90,0.22092279708585472,1.0051340445765073e-111,2.7060115327869045e-35,8.285678482894378e-99,0.373178464246078,0.1617667691507941,0.049898046711727484,1.7855613297617522e-07,1.8806626673695227e-12,1.0,0.056509216875470905,0.039733409639916624,0.0019396440110064728,0.6840439897510774,0.22464155910822212,5.427089836382722e-44,0.8658629756000452,0.05024748093802977
avg_files_per_dir,0.8088430970788419,0.4944882711686518,0.013552890706133596,0.5377627753455926,0.0001491845651140426,0.4435630600791295,0.7182436019725589,0.5087661101690094,0.6582147700731159,0.5490239722867949,0.24099715866798416,0.3301264607579097,0.7101481714561858,0.5024104615555256,0.3210002692822519,0.6608129526370566,0.5839851585255051,4.2637295446594473e-11,0.4648509162651816,0.4889079010986215,0.6561861713967725,0.19158028013955133,0.7183473986795946,0.056509216875470905,1.0,0.9428479826633642,0.5092385087307449,0.49931598951058614,0.3965764245103119,0.18747729657600237,9.777814044446876e-05,0.9965484740796342
avg_py_file_len,0.8495139627207527,0.7399883421566527,0.4936314316913299,0.24029859758346925,0.05429890283601269,0.028977921651430257,0.3047689942124527,0.36920837698114484,0.7531869383455777,0.6281090651948167,0.5286964021376339,0.6839975728199933,0.5614459560185587,0.41408851869539737,0.22466940403431332,0.5111990038610326,0.40703206666059344,0.22818330426829814,0.2785003404544094,0.16570164128197937,0.8741002417911015,0.6038188302712455,0.7488251712795774,0.039733409639916624,0.9428479826633642,1.0,8.323317125990487e-05,0.36239918184465186,4.9635281085491015e-11,0.20189917740157448,0.6016411414573815,0.46834065028795135
avg_test_file_len,0.5562877549619611,0.5994598411868796,4.735744066711117e-05,0.00015399418810385448,0.00022571554737854427,2.996365438306505e-05,0.8808780925763818,0.0075485342595398245,0.07036704945255907,0.5118197573001587,0.5864866892796461,0.8238522492208158,0.05902044376698746,4.4318463815950404e-08,1.5732132607197712e-23,0.2345997499059735,0.673136755095476,0.1272231357576563,3.445981960967961e-11,0.007713944009750932,0.011919076018592455,1.0556052302030269e-12,0.0019126426535568289,0.0019396440110064728,0.5092385087307449,8.323317125990487e-05,1.0,0.5734825402448558,0.9137688239210549,0.3262594088794891,1.9118914194817672e-07,0.6159612458709276
avg_nb_cell_count,0.8872262546796607,0.48363500283474353,0.26409117755056066,0.7430397677622519,0.7414527155225016,0.29671680059146316,0.7591914497131866,0.9905872727931654,0.7031638476283587,0.9956004348236215,0.8063937198549163,0.11648345056658903,0.7079037776298132,0.4497432345372445,0.1664274054049332,0.9734965891483346,0.01764171726892613,0.7455486267014728,0.501764077694557,0.2595758183938129,0.19995440776838735,0.6547793677467317,0.6320566021346591,0.6840439897510774,0.49931598951058614,0.36239918184465186,0.5734825402448558,1.0,0.001291163172741224,0.42796725553738135,0.8496066027235878,0.851833252203573
avg_docs_file_len,0.055429349946401654,0.08050275279997712,0.0001476058747156429,0.5751353273771203,0.05863281285855341,0.009587830500019046,0.16242283761164172,0.07670818206191274,0.5773560383679223,0.15724858218296905,0.22901495533627245,0.02979971143833064,0.11738708807223555,0.0005031919458820202,0.00038040826452134975,0.22207521456545717,0.2172809874958401,0.6433162140730214,0.19104178461466942,0.06732084220565293,0.2276513970519235,0.000428236404017825,0.7090378453369313,0.22464155910822212,0.3965764245103119,4.9635281085491015e-11,0.9137688239210549,0.001291163172741224,1.0,0.032514846596421725,0.698787751980576,0.5167416610719184
num_dependencies,0.10765308431016399,0.06292231014829339,4.134940514927994e-27,0.0025269341433698475,1.5625635573021407e-37,1.4931583374992414e-46,0.3879176669524508,0.00015429630859938612,0.47350292815459666,0.024233674192951343,0.0003069735946997935,1.3793404676668825e-07,0.4371964105591908,3.083641101622388e-33,0.48339365776537946,7.199614767982418e-09,2.000845230179356e-103,4.1171439372288866e-16,0.4769917129745535,0.0036637915401849406,0.10910645172255604,0.24177251666852273,0.0032019321289223665,5.427089836382722e-44,0.18747729657600237,0.20189917740157448,0.3262594088794891,0.42796725553738135,0.032514846596421725,1.0,0.0001655811473855775,0.2208736616315793
repo_age_days,0.31998627783395295,2.919001550414287e-05,0.27108531606402414,4.69176172475757e-10,0.03657073276476378,0.009053694866454604,0.8677415736788208,0.014284232720550391,0.009909480442745526,0.42038651601778126,0.6225365941811352,0.42731215648361126,0.8050159865065963,2.811784591341468e-06,2.06452538495917e-24,0.3455187625878355,0.7149448730331266,0.01416443036068778,0.0008994295132482081,0.00038273633248282296,0.008211188663360163,2.2962400222420577e-06,0.009234999028990156,0.8658629756000452,9.777814044446876e-05,0.6016411414573815,1.9118914194817672e-07,0.8496066027235878,0.698787751980576,0.0001655811473855775,1.0,8.238473374377925e-10
recent_activity_days,0.0014048214697606534,0.007082460010342184,0.10992527851944728,0.10881917311945546,0.02361839579342197,0.010396923334335603,0.3739530136121619,0.2714866724811776,0.6361651559281318,0.4247901111325434,0.23311273151109618,0.2768108445961947,0.48337857336083445,0.08149842049033047,0.042792176279268894,0.16351856461984013,0.724137760072871,0.3327411536639676,0.49603137818843346,0.6931701023915583,0.3890076993214914,0.7821366264183623,0.02789196378004005,0.05024748093802977,0.9965484740796342,0.46834065028795135,0.6159612458709276,0.851833252203573,0.5167416610719184,0.2208736616315793,8.238473374377925e-10,1.0
